time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
13.35	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.31552808	0	0.943296015	0.63515106	0.349207298	13.3812365	-6.29680665	0.228385615	0.0604939387	0.0374059612	27.602208
13.36	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.316289873	0	0.943318902	0.634190389	0.3508087	13.6423142	-6.42635213	0.22810941	0.093576427	0.0285555944	28.250726
13.37	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.316162373	0	0.943305265	0.633297943	0.352355626	13.9399064	-6.53426687	0.228481785	0.065194278	0.0448047496	27.028035
13.38	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.31417578	0	0.943277475	0.632562286	0.353620184	14.1571832	-6.63822075	0.228952533	0.0731353046	0.0444319395	27.344744
13.39	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.313781401	0	0.94320796	0.631937684	0.354561566	14.3396428	-6.70831881	0.228849004	0.0948294087	0.0425043114	26.569915
13.4	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.315145847	0	0.943094533	0.63158566	0.355108913	14.4834575	-6.75448266	0.228442233	0.0704131383	0.0244443188	26.582003
13.41	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.314857255	0	0.942942895	0.631502644	0.355309452	14.5290971	-6.78522188	0.228220712	0.0982686591	0.0499725505	27.651912
13.42	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.312216198	0	0.94279507	0.631500646	0.354937095	14.3987954	-6.74632051	0.227980552	0.0966414433	0.0353303247	26.909611
13.43	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.310606868	0	0.942657016	0.631352737	0.354184587	14.3588797	-6.75806012	0.227716052	0.0853807724	0.0489867441	27.795022
13.44	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.311068844	0	0.942310754	0.631393369	0.353730282	14.3303023	-6.66417589	0.227285225	0.0783157055	0.0392749544	28.148755
13.45	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.31162033	0	0.941881793	0.631465354	0.353068381	14.3015957	-6.57179322	0.227460605	0.107718282	0.019690631	26.289413
13.46	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.311230905	0	0.941472206	0.63124686	0.352370825	14.3316812	-6.40835088	0.228101159	0.116419661	0.033302041	26.994248
13.47	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.312613738	0	0.94113212	0.630703288	0.351716126	14.4021302	-6.21169372	0.228382901	0.0854869231	0.0354107422	27.885258
