time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
21.9	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.171246568	0	2.03682569	1.10823117	0.355457804	-1.31921502	8.72908302	0.303839421	0.0593714742	0.025383235	41.907913
21.91	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.171391793	0	2.03622212	1.1080659	0.355586494	-1.19516519	8.72936927	0.30327809	0.0366064721	0.0119108034	41.365179
21.92	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.171095613	0	2.03560597	1.10793279	0.355500955	-1.18288741	8.76421842	0.303221026	0.0478041601	0.00933947378	37.261744
21.93	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.170624985	0	2.03498961	1.10777187	0.355565004	-1.11318155	8.78289437	0.303317452	0.0392311082	0.0182055678	41.506144
21.94	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.170325196	0	2.03437015	1.10756605	0.355731536	-1.03534929	8.79256942	0.303429115	0.0282086183	0.0154168187	40.991357
21.95	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.170048496	0	2.03376757	1.10732853	0.35592136	-0.959584182	8.77808126	0.303492644	0.0358612508	0.0191909228	38.426704
21.96	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.169739885	0	2.03321657	1.10700619	0.355903224	-0.769330084	8.80369508	0.303703409	0.0425565012	0.0278994121	37.067643
21.97	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.169171902	0	2.03269702	1.10661829	0.355898955	-0.655050586	8.8011701	0.303797653	0.0154340641	0.0276536537	38.736872
21.98	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.168584928	0	2.03219584	1.10621497	0.355906543	-0.574260047	8.76432906	0.303941935	0.0595300105	0.0250035773	39.34635
21.99	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.168115744	0	2.03174816	1.1058309	0.355883652	-0.528132102	8.67789892	0.30380793	0.0412670049	0.0119412138	43.119422
22	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.167996163	0	2.031325	1.10543864	0.355861746	-0.512745722	8.57447444	0.303629626	0.0633267615	0.016987259	39.288407
22.01	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.168159661	0	2.03095395	1.10508792	0.355893735	-0.532536096	8.45436298	0.30330833	0.0680474723	0.0372646011	43.653255
22.02	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.168652983	0	2.0306604	1.10476996	0.355905115	-0.582248055	8.33220332	0.30332761	0.0356555277	0.0160062876	39.272712
22.03	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.169666678	0	2.03044537	1.10447421	0.35586351	-0.661899004	8.2265041	0.303585479	0.0376835668	0.0192861774	40.982393
22.04	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.17119149	0	2.03028125	1.10414545	0.35584766	-0.749103174	8.15787655	0.303916002	0.0458035088	0.0193416879	36.619593
22.05	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.172298944	0	2.03013461	1.10370415	0.355757739	-0.751437458	8.05033221	0.303069395	0.0468800392	0.0182231156	39.185037
22.06	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.173476101	0	2.0299792	1.10320924	0.35575822	-0.834865812	8.00647313	0.302612803	0.0627996383	0.0202746927	38.479921
22.07	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.174568104	0	2.02977721	1.10275271	0.355618971	-1.03326156	7.94499357	0.302144201	0.0591314777	0.0357180494	41.321649
22.08	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.175555542	0	2.0295283	1.10221688	0.355636193	-1.17487905	7.95297853	0.301821709	0.057030963	0.0205271834	40.828249
22.09	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.176424393	0	2.02932575	1.10165377	0.355772297	-1.28718638	7.99134213	0.301517248	0.0484670637	0.0196066809	40.345575
22.1	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.177200694	0	2.02922825	1.1011102	0.355988257	-1.39098127	8.03295449	0.301238766	0.049622284	0.0218529664	40.105687
22.11	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.177905038	0	2.02922714	1.1005568	0.356291681	-1.47830748	8.1005494	0.301200826	0.0381948708	0.0170015073	39.974962
22.12	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.17843245	0	2.02933288	1.10000916	0.356679507	-1.54905341	8.18022132	0.301256575	0.0219991347	0.00998982079	40.573768
22.13	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.178500576	0	2.02956115	1.09943962	0.357101111	-1.59420138	8.24464455	0.301297461	0.0414248638	0.0175514317	38.484194
22.14	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.177885152	0	2.02988491	1.09892806	0.35725457	-1.69088405	8.34109619	0.301366489	0.0292944304	0.00422078782	39.425318
22.15	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.177360063	0	2.03029027	1.09839081	0.35738078	-1.70719463	8.4269554	0.301392031	0.034178377	0.0273954618	38.392484
22.16	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.177022881	0	2.03077608	1.09776751	0.357517162	-1.67634591	8.5065776	0.300556906	0.0657615841	0.0336617338	39.069741
